Conjunto,Alicuota,Coeficiente
Buenos Aires 1 CUOTA Responsable Insc,0.05,1.0
Buenos Aires AHORA 03 Responsable Insc,0.05,1.1559882968491129
Buenos Aires AHORA 06 Responsable Insc,0.05,1.330960018437642
Buenos Aires AHORA 12 Responsable Insc,0.05,1.7682458312711948
Buenos Aires AHORA 18 Responsable Insc,0.05,2.3650834535338974
Buenos Aires AHORA 24 Responsable Insc,0.05,3.205191305470908
CABA 1 CUOTA Responsable Insc,0.03,1.0
CABA AHORA 03 Responsable Insc,0.03,1.1521571478394137
CABA AHORA 06 Responsable Insc,0.03,1.3216357958171163
CABA AHORA 12 Responsable Insc,0.03,1.7397544517442605
CABA AHORA 18 Responsable Insc,0.03,2.2982069370958262
CABA AHORA 24 Responsable Insc,0.03,3.061286417666464
Catamarca 1 CUOTA Responsable Insc,0.03,1.0
Catamarca AHORA 03 Responsable Insc,0.03,1.1521571478394137
Catamarca AHORA 06 Responsable Insc,0.03,1.3216357958171163
Catamarca AHORA 12 Responsable Insc,0.03,1.7397544517442605
Catamarca AHORA 18 Responsable Insc,0.03,2.2982069370958262
Catamarca AHORA 24 Responsable Insc,0.03,3.061286417666464
Chaco 1 CUOTA Responsable Insc,0.035,1.0
Chaco AHORA 03 Responsable Insc,0.035,1.153097183300466
Chaco AHORA 06 Responsable Insc,0.035,1.3239172470147955
Chaco AHORA 12 Responsable Insc,0.035,1.746677322692281
Chaco AHORA 18 Responsable Insc,0.035,2.314304136494396
Chaco AHORA 24 Responsable Insc,0.035,3.0954726531532883
Chubut 1 CUOTA Responsable Insc,0.05,1.0
Chubut AHORA 03 Responsable Insc,0.05,1.1559882968491129
Chubut AHORA 06 Responsable Insc,0.05,1.330960018437642
Chubut AHORA 12 Responsable Insc,0.05,1.7682458312711948
Chubut AHORA 18 Responsable Insc,0.05,2.3650834535338974
Chubut AHORA 24 Responsable Insc,0.05,3.205191305470908
Córdoba 1 CUOTA Responsable Insc,0.0475,1.0
Córdoba AHORA 03 Responsable Insc,0.0475,1.1554988855645467
Córdoba AHORA 06 Responsable Insc,0.0475,1.3297650322865773
Córdoba AHORA 12 Responsable Insc,0.0475,1.7645649628293751
Córdoba AHORA 18 Responsable Insc,0.0475,2.356349490709935
