Conjunto,Alicuota,Coeficiente
Buenos Aires 1 CUOTA Responsable Insc,0.05,1
Buenos Aires AHORA 03 Responsable Insc,0.05,1.1769650781383583
Buenos Aires AHORA 06 Responsable Insc,0.05,1.3785906214933363
Buenos Aires AHORA 12 Responsable Insc,0.05,1.8982433395503597
Buenos Aires AHORA 18 Responsable Insc,0.05,2.640446334057304
Buenos Aires AHORA 24 Responsable Insc,0.05,3.749969874610768
CABA 1 CUOTA Responsable Insc,0.03,1
CABA AHORA 03 Responsable Insc,0.03,1.1725419049506982
CABA AHORA 06 Responsable Insc,0.03,1.367555203782246
CABA AHORA 12 Responsable Insc,0.03,1.86260875480494
CABA AHORA 18 Responsable Insc,0.03,2.5514688632377363
CABA AHORA 24 Responsable Insc,0.03,3.54364162404823
Catamarca 1 CUOTA Responsable Insc,0.03,1
Catamarca AHORA 03 Responsable Insc,0.03,1.1725419049506982
Catamarca AHORA 06 Responsable Insc,0.03,1.367555203782246
Catamarca AHORA 12 Responsable Insc,0.03,1.86260875480494
Catamarca AHORA 18 Responsable Insc,0.03,2.5514688632377363
Catamarca AHORA 24 Responsable Insc,0.03,3.54364162404823
Chaco 1 CUOTA Responsable Insc,0.035,1
Chaco AHORA 03 Responsable Insc,0.035,1.1736268430344217
Chaco AHORA 06 Responsable Insc,0.035,1.3702533837859714
Chaco AHORA 12 Responsable Insc,0.035,1.8712518374677407
Chaco AHORA 18 Responsable Insc,0.035,2.5728157411735864
Chaco AHORA 24 Responsable Insc,0.035,3.592392770851015
Chubut 1 CUOTA Responsable Insc,0.05,1
Chubut AHORA 03 Responsable Insc,0.05,1.1769650781383583
Chubut AHORA 06 Responsable Insc,0.05,1.3785906214933363
Chubut AHORA 12 Responsable Insc,0.05,1.8982433395503597
Chubut AHORA 18 Responsable Insc,0.05,2.640446334057304
Chubut AHORA 24 Responsable Insc,0.05,3.749969874610768
Córdoba 1 CUOTA Responsable Insc,0.0475,1
Córdoba AHORA 03 Responsable Insc,0.0475,1.176399821962629
Córdoba AHORA 06 Responsable Insc,0.0475,1.3771751455748977
Córdoba AHORA 12 Responsable Insc,0.0475,1.8936303258401155
Córdoba AHORA 18 Responsable Insc,0.0475,2.6287841834444454
Córdoba AHORA 24 Responsable Insc,0.0475,3.7224615527853033
Corrientes 1 CUOTA Responsable Insc,0.029,1
Corrientes AHORA 03 Responsable Insc,0.029,1.172326542082992
Corrientes AHORA 06 Responsable Insc,0.029,1.367020274698466
